CollisionDetected,Filename
False,log_100_of_104.txt
False,log_101_of_104.txt
False,log_102_of_104.txt
False,log_103_of_104.txt
False,log_104_of_104.txt
True,log_10_of_104.txt
True,log_11_of_104.txt
False,log_12_of_104.txt
True,log_13_of_104.txt
True,log_14_of_104.txt
True,log_15_of_104.txt
True,log_16_of_104.txt
False,log_17_of_104.txt
False,log_18_of_104.txt
True,log_19_of_104.txt
False,log_1_of_104.txt
True,log_20_of_104.txt
True,log_21_of_104.txt
True,log_22_of_104.txt
True,log_23_of_104.txt
True,log_24_of_104.txt
False,log_25_of_104.txt
False,log_26_of_104.txt
False,log_27_of_104.txt
True,log_28_of_104.txt
True,log_29_of_104.txt
True,log_2_of_104.txt
True,log_30_of_104.txt
True,log_31_of_104.txt
True,log_32_of_104.txt
False,log_33_of_104.txt
False,log_34_of_104.txt
False,log_35_of_104.txt
True,log_36_of_104.txt
True,log_37_of_104.txt
True,log_38_of_104.txt
True,log_39_of_104.txt
True,log_3_of_104.txt
True,log_40_of_104.txt
False,log_41_of_104.txt
False,log_42_of_104.txt
False,log_43_of_104.txt
False,log_44_of_104.txt
True,log_45_of_104.txt
True,log_46_of_104.txt
True,log_47_of_104.txt
True,log_48_of_104.txt
False,log_49_of_104.txt
True,log_4_of_104.txt
False,log_50_of_104.txt
False,log_51_of_104.txt
False,log_52_of_104.txt
True,log_53_of_104.txt
True,log_54_of_104.txt
True,log_55_of_104.txt
True,log_56_of_104.txt
False,log_57_of_104.txt
False,log_58_of_104.txt
False,log_59_of_104.txt
True,log_5_of_104.txt
False,log_60_of_104.txt
False,log_61_of_104.txt
True,log_62_of_104.txt
True,log_63_of_104.txt
True,log_64_of_104.txt
False,log_65_of_104.txt
False,log_66_of_104.txt
False,log_67_of_104.txt
False,log_68_of_104.txt
False,log_69_of_104.txt
True,log_6_of_104.txt
False,log_70_of_104.txt
True,log_71_of_104.txt
False,log_72_of_104.txt
False,log_73_of_104.txt
False,log_74_of_104.txt
False,log_75_of_104.txt
False,log_76_of_104.txt
False,log_77_of_104.txt
False,log_78_of_104.txt
True,log_79_of_104.txt
True,log_7_of_104.txt
True,log_80_of_104.txt
False,log_81_of_104.txt
False,log_82_of_104.txt
False,log_83_of_104.txt
False,log_84_of_104.txt
False,log_85_of_104.txt
False,log_86_of_104.txt
False,log_87_of_104.txt
False,log_88_of_104.txt
False,log_89_of_104.txt
True,log_8_of_104.txt
False,log_90_of_104.txt
False,log_91_of_104.txt
False,log_92_of_104.txt
False,log_93_of_104.txt
False,log_94_of_104.txt
False,log_95_of_104.txt
False,log_96_of_104.txt
False,log_97_of_104.txt
False,log_98_of_104.txt
False,log_99_of_104.txt
False,log_9_of_104.txt
